parent_code,code,name,type,asset_type,method_number_min,method_number,account_asset_id,account_depreciation_id,account_expense_id,account_income_id,method,method_time,method_period
2_1_5,2_1_5_7,"Masini portabile de polizat, slefuit, taiat, gaurit, etc.",normal,fixed,24,48,213100,281300,681100,758300,linear,number,1
2_1_5,2_1_5_8,"Alte masini, utilaje si instalatii neregasite in cadrul clasei 2.1.5.",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1,2_1_6,"Masini, uilaje si instalatii pentru industria chimica si petrochimica",view,none,,,,,,,,,
2_1_6,2_1_6_1,"Masini, utilaje si instalatii de uz general in tehnologia chimica",view,none,,,,,,,,,
2_1_6_1,2_1_6_1_1,"Decantoare, separatoare, vase florentine, hidrocicloane filtre si centrifuge, masini, utilaje si instalatii pentru procese de distilare si rectificare a lichidelor. Masini, utilaje si instalatii pentru procesele de incalzire, racire si condensare, masini, utilaje si instalatii pentru evaporare, uscare si cristalizare:",view,none,,,,,,,,,
2_1_6_1_1,2_1_6_1_1_1,"Decantoare, separatoare, vase florentine, hidrocicloane filtre si centrifuge, masini, utilaje si instalatii pentru procese de distilare si rectificare a lichidelor. Masini, utilaje si instalatii pentru procesele de incalzire, racire si condensare, masini, utilaje si instalatii pentru evaporare, uscare si cristalizare -  mediu neutru sau usor coroziv",normal,fixed,108,180,213100,281300,681100,758300,linear,number,1
2_1_6_1_1,2_1_6_1_1_2,"Decantoare, separatoare, vase florentine, hidrocicloane filtre si centrifuge, masini, utilaje si instalatii pentru procese de distilare si rectificare a lichidelor. Masini, utilaje si instalatii pentru procesele de incalzire, racire si condensare, masini, utilaje si instalatii pentru evaporare, uscare si cristalizare -  mediu puternic coroziv",normal,fixed,72,120,213100,281300,681100,758300,linear,number,1
2_1_6_1,2_1_6_1_2,"Masini, utilaje si instalatii pentru procese de separare a sistemelor gazoase, masini, utilaje si instalatii pentru procese de absorbtie si extractie, masini, utilaje si instalatii pentru reactii chimice si electrochimice:",view,none,,,,,,,,,
2_1_6_1_2,2_1_6_1_2_1,"Masini, utilaje si instalatii pentru procese de separare a sistemelor gazoase, masini, utilaje si instalatii pentru procese de absorbtie si extractie, masini, utilaje si instalatii pentru reactii chimice si electrochimice -  mediu neutru sau usor coroziv",normal,fixed,96,144,213100,281300,681100,758300,linear,number,1
2_1_6_1_2,2_1_6_1_2_2,"Masini, utilaje si instalatii pentru procese de separare a sistemelor gazoase, masini, utilaje si instalatii pentru procese de absorbtie si extractie, masini, utilaje si instalatii pentru reactii chimice si electrochimice -  mediu puternic coroziv",normal,fixed,60,108,213100,281300,681100,758300,linear,number,1
